type,frequency_Hz,hearing_level_dB
f0,125,12
f0,250,20
f0,250,51
f0,125,36
f0,125,12
main_consonant,250,20
main_consonant,500,26
main_consonant,1000,28
main_consonant,2000,27
main_consonant,3500,26
main_consonant,3500,41
main_consonant,2000,45
main_consonant,1000,47
main_consonant,500,43
main_consonant,250,34
main_consonant,250,20
vowel_formants,250,34
vowel_formants,500,43
vowel_formants,1000,47
vowel_formants,2000,45
vowel_formants,3500,41
vowel_formants,3500,61
vowel_formants,2000,65
vowel_formants,1000,66
vowel_formants,500,62
vowel_formants,250,51
vowel_formants,250,34
high_consonant,3500,26
high_consonant,8000,25
high_consonant,8000,48
high_consonant,4000,59
high_consonant,3500,61
high_consonant,3500,26
polygon,125,12
polygon,250,20
polygon,500,26
polygon,1000,28
polygon,2000,27
polygon,3500,26
polygon,8000,25
polygon,8000,48
polygon,4000,59
polygon,3500,61
polygon,2000,65
polygon,1000,66
polygon,500,62
polygon,250,51
polygon,125,36
polygon,125,12