curve,frequency_Hz,hearing_level_dB
B,125,-5
B,250,10
B,500,20
B,1000,20
B,1500,24
B,2000,26
B,3000,21
B,4000,25
B,6000,15
A,125,16
A,250,37
A,500,52
A,1000,43
A,1500,52
A,2000,50
A,3000,47
A,4000,46
A,6000,32
C,125,26
C,250,46
C,500,65
C,1000,65
C,1500,67
C,2000,70
C,3000,67
C,4000,70
C,6000,60
polygon,125,-5
polygon,250,10
polygon,500,20
polygon,1000,20
polygon,1500,24
polygon,2000,26
polygon,3000,21
polygon,4000,25
polygon,6000,15
polygon,6000,60
polygon,4000,70
polygon,3000,67
polygon,2000,70
polygon,1500,67
polygon,1000,65
polygon,500,65
polygon,250,46
polygon,125,26
polygon,125,-5